"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TIRAP",135.743016650715,0.182558332133938,0.147133638991046,1.24076542513197,0.214692417203235,0.446984633076148
"ERMAP",284.366863085024,-0.015614659039534,0.0981603062840826,-0.159073047249304,0.873611322986047,0.944133489092005
"LRRC37B",99.2518599850679,-0.224208108078003,0.166876177587075,-1.34355970588439,0.179090806762872,0.401043854780199
"BTBD9",531.155699390737,0.129992058805311,0.0762147074900893,1.70560332888786,0.0880819591746369,0.251804340181273
"LMTK3",200.3666384656,-9.94737075199956e-05,0.120912167627544,-0.000822693939508328,0.999343585281447,0.999737992846681
"MBD6",155.617984033979,0.492508645862482,0.289689383529434,1.70012666623125,0.089107102397822,0.253597653678834
"GPRIN1",159.580114299341,-0.0446065032061743,0.134014897444038,-0.332847347995779,0.73924951549163,0.873255129944494
"SLC25A25",1166.76620350724,0.2422193004757,0.0525884806626029,4.60593836185781,4.10610012235643e-06,5.1689584482713e-05
"STK11IP",150.333697293372,-0.0605362833987235,0.137325992037866,-0.440821744670384,0.659342050152193,0.831163758748489
"TUBGCP5",540.092023341076,0.18176044646502,0.0774062846583456,2.34813551983887,0.0188676550722083,0.0826676330584919
"FMNL2",56.992595821524,-0.319773966600596,0.232743856649992,-1.37393085773895,0.169463148721892,0.386170678733411
"LRRC62",66.0314872691801,-0.308963554794152,0.199963145276391,-1.54510249559788,0.122321473454504,0.31283776446844
"KIAA1908",85.2691639094117,-0.204332264027246,0.18063953671493,-1.13116025286151,0.257987647913998,0.499207615967596
"ESCO1",1335.96656597795,0.248260092185783,0.049541091436823,5.01119545382594,5.40929380534591e-07,7.58586000635683e-06
"CCDC85A",77.9464315825557,-0.0168971223594909,0.167822076254317,-0.100684741463245,0.919800724363548,0.965314987052636
"MYSM1",307.737317657403,0.107140454758695,0.115304145072004,0.929198639752189,0.352786152252796,0.59886412964362
"RNF157",439.687303810122,0.367751429462739,0.113372249234826,3.24375172888228,0.00117966520506922,0.00851435619893481
"GNRHR2",62.7298777617841,0.132750949779143,0.793999945099867,0.167192643523982,0.867218472566867,0.940865233953067
"KLHL29",222.519327235077,1.06277800717903,0.113032115098446,9.40244289203471,5.33106893474797e-21,2.19335407601059e-19
"RHPN1",537.088682786013,-0.208377661706293,0.10052659837871,-2.07286096482923,0.038185220754834,0.13999553927651
"LENG8",273.99868132675,0.289801607718388,0.149990315139605,1.93213546787105,0.0533427876391897,0.177729017055178
